Article_len,Avg_Word_Len,CountOfNumbers,CountofExclaimation
726,4.81404958677686,43,0
748,4.762032085561497,39,0
729,4.9437585733882035,2,0
709,4.696755994358251,37,0
356,4.485955056179775,0,0
1097,4.566089334548769,18,0
1021,4.128305582761998,5,0
1351,4.170244263508512,77,0
861,4.620209059233449,42,0
408,4.948529411764706,103,0
770,4.235064935064935,6,2
751,4.553928095872171,16,0
1180,4.923728813559322,25,0
712,4.469101123595506,22,0
724,4.720994475138122,8,0
1133,4.9549867608120035,28,0
1013,4.605133267522211,36,0
128,4.3671875,4,0
1130,4.347787610619469,45,0
914,4.769146608315099,113,0
609,5.019704433497537,4,0
350,4.848571428571429,16,0
183,5.7923497267759565,2,0
1597,4.300563556668754,15,0
191,4.602094240837697,18,0
396,5.492424242424242,27,0
649,4.833590138674884,16,0
437,4.139588100686499,0,0
1147,4.891891891891892,65,0
188,4.372340425531915,18,0
616,5.001623376623376,24,0
144,5.069444444444445,5,1
1179,4.6938083121289225,14,1
184,5.1521739130434785,2,0
1005,4.790049751243781,112,0
244,4.897540983606557,14,0
110,4.345454545454546,5,0
